ticker,sector,industry,market_cap
RRR,Consumer services,Hotels/Resorts/Cruise lines,6308044470
RRX,Producer manufacturing,Electrical products,15396210634
RS,Non-energy minerals,Steel,20597568026
RSG,Industrial services,Environmental services,62874234236
RSI,Consumer services,Casinos/Gaming,7111356530
RTO,Commercial services,Miscellaneous commercial services,14294402798
RTX,Electronic technology,Aerospace & defense,244867435925
RUM,Technology services,Internet software/Services,2963974460
RUN,Electronic technology,Semiconductors,3249041247
RUSHA,Retail trade,Specialty stores,5531560437
RUSHB,Retail trade,Specialty stores,5531560437
RVLV,Retail trade,Internet retail,1487971862
RVMD,Health technology,Pharmaceuticals: other,35250619519
RVT,Miscellaneous,Investment trusts,2161677960
RVTY,Health technology,Medical specialties,11048880347
RXO,Technology services,Packaged software,4258242576
RXRX,Health technology,Biotechnology,1687823797
RXT,Technology services,Data processing services,1703435822
RY,Finance,Major banks,283148671630
RYAN,Finance,Insurance brokers/Services,8769311821
RYN,Finance,Real estate investment trusts,6323800379
RYTM,Health technology,Pharmaceuticals: major,6954701706
RYZ,Non-energy minerals,Steel,1413967660
RZLV,Technology services,Packaged software,1064869739
S,Technology services,Packaged software,5052926550
SA,Non-energy minerals,Precious metals,3158733162
SAFE,Finance,Real estate investment trusts,1089188112
SAFT,Finance,Property/Casualty insurance,1036944116
SAH,Retail trade,Specialty stores,2546658679
SAIA,Transportation,Trucking,11629983000
SAIC,Technology services,Information technology services,4253048142
SAIL,Technology services,Packaged software,7163521145
SAM,Consumer non-durables,Beverages: alcoholic,1849531577
SAN,Finance,Major banks,201189908850
SANM,Electronic technology,Electronic production equipment,13584345149
SAP,Technology services,Packaged software,176413171732
SARO,Transportation,Other transportation,9063185552
SATA,Miscellaneous,Investment trusts,1181337568
SATS,Communications,Specialty telecommunications,30836154778
SBAC,Finance,Real estate investment trusts,19896361308
SBCF,Finance,Regional banks,3031181915
SBET,Commercial services,Advertising/Marketing services,1047192579
SBH,Retail trade,Specialty stores,1241264417
SBLK,Transportation,Marine shipping,3019234231
SBR,Miscellaneous,Investment trusts,1053066120
SBRA,Finance,Real estate investment trusts,4607513133
SBS,Utilities,Water utilities,19034545000
SBSI,Finance,Regional banks,1005012757
SBUX,Consumer services,Restaurants,114140951848
SCCO,Non-energy minerals,Other metals/Minerals,158447326821
SCHW/PD,Finance,Investment banks/Brokers,160052637762
SCHW/PJ,Finance,Investment banks/Brokers,160052637762
SCI,Consumer services,Other consumer services,10106872097
SCL,Process industries,Chemicals: specialty,1215162710
SCSC,Distribution services,Electronics distributors,1002609085
SDRL,Industrial services,Contract drilling,2484834833
SE,Retail trade,Internet retail,54535622400
SEB,Process industries,Agricultural commodities/Milling,4643988662
SEDG,Producer manufacturing,Electrical products,3500087535
SEI,Industrial services,Oilfield services/Equipment,6042945260
SEIC,Finance,Investment managers,10885907653
SEM,Health services,Hospital/Nursing management,2051255810
SENEA,Consumer non-durables,Food: specialty/candy,1060736040
SENEB,Consumer non-durables,Food: specialty/candy,1068250865
SEPN,Health technology,Biotechnology,1570882187
SEZL,Technology services,Packaged software,5261619544
SF,Finance,Investment managers,11322583820
SF/PB,Finance,Investment managers,11322583820
SF/PC,Finance,Investment managers,11322583820
SF/PD,Finance,Investment managers,11322583820
SFBS,Finance,Regional banks,4477978336
SFD,Consumer non-durables,Food: meat/fish/dairy,9651997566
SFL,Transportation,Marine shipping,1628526591
SFM,Retail trade,Food retail,7602541182
SFNC,Finance,Major banks,3216073524
SGHC,Consumer services,Casinos/Gaming,7001297923
SGI,Consumer durables,Home furnishings,15346451584
SGML,Non-energy minerals,Other metals/Minerals,1481659612
SGRY,Health services,Hospital/Nursing management,1902967785
SHAK,Consumer services,Restaurants,2383358434
SHAZ,Technology services,Data processing services,1526511403
SHC,Health technology,Medical specialties,4488528392
SHEL,Energy minerals,Integrated oil,221207919205
SHG,Finance,Major banks,29259312011
SHLS,Electronic technology,Semiconductors,1835423641
SHO,Finance,Real estate investment trusts,2209414277
SHO/PH,Finance,Real estate investment trusts,2209414277
SHO/PI,Finance,Real estate investment trusts,2209414277
SHOO,Consumer non-durables,Apparel/Footwear,3122940560
SHOP,Commercial services,Miscellaneous commercial services,140120750191
SHW,Process industries,Industrial specialties,78158826510
SID,Non-energy minerals,Steel,1362583492
SIFY,Technology services,Internet software/Services,1118717274
SIG,Retail trade,Specialty stores,3411072001
SIGI,Finance,Property/Casualty insurance,5534338416
SIGIP,Finance,Property/Casualty insurance,5534338416
SII,Finance,Investment managers,3044841505
SILA,Finance,Real estate investment trusts,1676014875
SIM,Non-energy minerals,Steel,5121081168
SIMO,Electronic technology,Semiconductors,11306771444
SION,Health technology,Biotechnology,1753187381
SIRI,Consumer services,Broadcasting,9405161138
SITE,Distribution services,Wholesale distributors,4725916117
SITM,Electronic technology,Semiconductors,19879978747
SJM,Consumer non-durables,Food: specialty/candy,11433114218
SKE,Non-energy minerals,Precious metals,3480566876
SKM,Communications,Wireless telecommunications,12884573486
SKT,Finance,Real estate investment trusts,4514620994
SKWD,Finance,Multi-line insurance,2060398700
SKY,Consumer durables,Homebuilding,4498585723
SKYT,Producer manufacturing,Industrial machinery,1836807855
SLAB,Electronic technology,Semiconductors,7248745012
SLB,Industrial services,Contract drilling,71688013884
SLDE,Technology services,Packaged software,1940633625
SLF,Finance,Multi-line insurance,42969212988
SLG,Finance,Real estate investment trusts,3817028733
SLG/PI,Finance,Real estate investment trusts,3817028733
SLGN,Process industries,Containers/Packaging,4382539617
SLM,Finance,Finance/Rental/Leasing,4307231047
SLMBP,Finance,Finance/Rental/Leasing,4307231048
SLS,Health technology,Pharmaceuticals: major,1586857837
SLVM,Process industries,Pulp & paper,1540570065
SM,Energy minerals,Integrated oil,6607474127
SMA,Finance,Real estate investment trusts,1921388930
SMCI,Electronic technology,Computer processing hardware,22938115485
SMCIP,Electronic technology,Computer processing hardware,22938115486
SMFG,Finance,Major banks,156944344936
SMG,Process industries,Chemicals: agricultural,3648589289
SMMT,Health technology,Biotechnology,11083601687
SMPL,Consumer non-durables,Food: major diversified,1073199762
SMR,Producer manufacturing,Electrical products,4108007985
SMTC,Electronic technology,Semiconductors,16276303331
SN,Consumer durables,Electronics/Appliances,19609062189
SNA,Consumer durables,Tools & hardware,20239008516
SNAP,Technology services,Packaged software,7672655769
SNDA,Health services,Medical/Nursing services,1730979194
SNDK,Electronic technology,Computer peripherals,336716144065
SNDX,Health technology,Biotechnology,1711945627
SNEX,Finance,Investment banks/Brokers,10999314509
SNN,Health technology,Medical specialties,12478860242
SNPS,Technology services,Packaged software,88957461931
SNX,Distribution services,Electronics distributors,22771581050
SNY,Health technology,Pharmaceuticals: major,99890896914
SO,Utilities,Electric utilities,105323746551
SOBO,Industrial services,Oil & gas pipelines,7488187798
SOC,Energy minerals,Integrated oil,1446380353
SOFI,Finance,Finance/Rental/Leasing,21934875196
SOLS,Process industries,Chemicals: major diversified,13808029944
SOLV,Health services,Medical/Nursing services,12738731475
SON,Process industries,Containers/Packaging,4988914032
SONO,Consumer durables,Electronics/Appliances,1705922514
SONY,Electronic technology,Computer processing hardware,116711705501
SOUN,Technology services,Packaged software,2977455107
SPB,Consumer durables,Electronics/Appliances,1931853243
SPCX,Communications,Specialty telecommunications,2038214463822
SPG,Finance,Real estate investment trusts,69581174247
SPG/PJ,Finance,Real estate investment trusts,69581174247
SPGI,Commercial services,Financial publishing/Services,120587444335
SPH,Distribution services,Wholesale distributors,1127168502
SPNT,Finance,Property/Casualty insurance,2678785238
SPOT,Technology services,Internet software/Services,94547115777
SPSC,Technology services,Packaged software,2014058947
SPXC,Producer manufacturing,Building products,12336477016
SPXX,Miscellaneous,Investment trusts,2488938900
SQM,Process industries,Chemicals: specialty,21518019679
SR,Utilities,Gas distributors,4489329525
SRAD,Technology services,Packaged software,4545422276
SRCE,Finance,Regional banks,1873041131
SRE,Utilities,Gas distributors,59891085411
SRPT,Health technology,Pharmaceuticals: major,1863420200
SRRK,Health technology,Biotechnology,5894355812
SSB,Finance,Major banks,9486496947
SSD,Producer manufacturing,Building products,8156906979
SSL,Process industries,Chemicals: major diversified,7189705656
SSNC,Technology services,Packaged software,15685519721
SSRM,Non-energy minerals,Precious metals,6374125639
ST,Electronic technology,Electronic equipment/Instruments,7518837231
STAA,Health technology,Medical specialties,1435402391
STAG,Finance,Real estate investment trusts,7376691674
STBA,Finance,Regional banks,1702066562
STC,Finance,Specialty insurance,2013664299
STE,Health technology,Medical specialties,19530518427
STEL,Finance,Major banks,1964011386
STEP,Finance,Investment managers,5425397845
STLA,Consumer durables,Motor vehicles,24013799693
STLD,Non-energy minerals,Steel,36194523865
STM,Electronic technology,Semiconductors,70717379147
STN,Industrial services,Engineering & construction,7813589290
STNE,Commercial services,Miscellaneous commercial services,2612271102
STNG,Transportation,Marine shipping,4267841934
STOK,Health technology,Biotechnology,1928862793
STRA,Consumer services,Other consumer services,1728756701
STRC,Technology services,Internet software/Services,38359995856
STRD,Technology services,Internet software/Services,38359995856
STRF,Technology services,Internet software/Services,38359995856
STRK,Technology services,Internet software/Services,38359995856
STRL,Industrial services,Engineering & construction,28622322791
STT,Finance,Finance/Rental/Leasing,48077202433
STT/PG,Finance,Finance/Rental/Leasing,48077202433
STUB,Technology services,Internet software/Services,4279985268
STVN,Health technology,Medical specialties,4624682765
STWD,Finance,Real estate investment trusts,6169255907
STX,Electronic technology,Computer peripherals,245315491499
STZ,Consumer non-durables,Beverages: alcoholic,24267579967
SU,Energy minerals,Integrated oil,66393305823
SUI,Finance,Real estate investment trusts,14576966556
SUN,Distribution services,Wholesale distributors,12852625860
SUNB,Finance,Finance/Rental/Leasing,34403074859
SUNC,Distribution services,Wholesale distributors,3226522320
SUPN,Health technology,Pharmaceuticals: major,2581606828
SUZ,Process industries,Pulp & paper,10185310368
SVC,Finance,Real estate investment trusts,1074363448
SVM,Non-energy minerals,Precious metals,2470832247
SVRA,Health technology,Pharmaceuticals: major,1166035867
SVV,Retail trade,Specialty stores,1484426638
SW,Process industries,Containers/Packaging,23731268008
SWK,Consumer durables,Tools & hardware,13417369556
SWKS,Electronic technology,Semiconductors,11457927247
SWX,Utilities,Gas distributors,6408795662
SXI,Electronic technology,Electronic equipment/Instruments,3884164827
SXT,Consumer non-durables,Food: specialty/candy,5068686303
SYBT,Finance,Regional banks,2164939011
SYF,Finance,Finance/Rental/Leasing,25466590506
SYF/PA,Finance,Finance/Rental/Leasing,25466590506
SYF/PB,Finance,Finance/Rental/Leasing,25466590506
SYK,Health technology,Medical specialties,116806187333
SYM,Producer manufacturing,Industrial machinery,24228814622
SYNA,Electronic technology,Semiconductors,5555712303
SYRE,Health technology,Pharmaceuticals: major,8711913929
SYY,Distribution services,Food distributors,37288679713
T,Communications,Wireless telecommunications,153558291615
T/PA,Communications,Wireless telecommunications,153558291615
T/PC,Communications,Wireless telecommunications,153558291615
TAC,Utilities,Electric utilities,4124529702
TAK,Health technology,Pharmaceuticals: major,48802641093
TAL,Commercial services,Miscellaneous commercial services,5241080181
TALO,Energy minerals,Oil & gas production,2346976982
TAP,Consumer non-durables,Beverages: alcoholic,7466362481
TAP.A,Consumer non-durables,Beverages: alcoholic,7466362481
TARS,Health technology,Pharmaceuticals: major,2734602964
TBBB,Retail trade,Food retail,5025844620
TBBK,Finance,Regional banks,2366917712
TBLA,Technology services,Internet software/Services,1213560095
TBN,Energy minerals,Integrated oil,1229385631
TBNRL,Energy minerals,Integrated oil,1229385631
TCBI,Finance,Major banks,4349625217
TCBIO,Finance,Major banks,4349625217
TCBK,Finance,Regional banks,1645150437
TCOM,Consumer services,Other consumer services,29673592956
TD,Finance,Major banks,202029928293
TDAY,Consumer services,Publishing: newspapers,1138408349
TDC,Technology services,Packaged software,2791946962
TDG,Electronic technology,Aerospace & defense,72484330676
TDOC,Health services,Medical/Nursing services,1368289224
TDS,Communications,Wireless telecommunications,4139321972
TDS/PV,Communications,Wireless telecommunications,4139321973
TDW,Transportation,Marine shipping,3299628675
TDY,Electronic technology,Aerospace & defense,28568862781
TE,Producer manufacturing,Electrical products,2904422061
TEAM,Technology services,Packaged software,20291278159
TECH,Health technology,Biotechnology,8706788622
TECK,Non-energy minerals,Other metals/Minerals,31105482054
TEL,Electronic technology,Semiconductors,62083321177
TEM,Technology services,Packaged software,8592173963
TEN,Transportation,Marine shipping,1169731414
TEN/PE,Transportation,Marine shipping,1169731414
TEN/PF,Transportation,Marine shipping,1169731414
TENB,Technology services,Packaged software,2904563978
TEO,Communications,Major telecommunications,5976898626
TER,Electronic technology,Electronic production equipment,71539767136
TEVA,Health technology,Pharmaceuticals: generic,36745467702
TEX,Producer manufacturing,Trucks/Construction/Farm machinery,7872948068
TFC,Finance,Regional banks,60749071233
TFC/PI,Finance,Regional banks,60749071234
TFC/PO,Finance,Regional banks,60749071234
TFII,Transportation,Trucking,12069017859
TFIN,Finance,Savings banks,1738332546
TFIN/P,Finance,Savings banks,1738332546
TFPM,Non-energy minerals,Precious metals,6169192755
TFSL,Finance,Savings banks,4657978339
TFX,Health technology,Medical specialties,5386356402
TGB,Non-energy minerals,Other metals/Minerals,2544806799
TGLS,Producer manufacturing,Building products,2141786735
TGS,Utilities,Gas distributors,4976398083
TGT,Retail trade,Specialty stores,58922213560
TGTX,Health technology,Pharmaceuticals: major,8327746571
TH,Consumer services,Hotels/Resorts/Cruise lines,2005651347
THC,Health services,Hospital/Nursing management,15396988935
THG,Finance,Property/Casualty insurance,7042489897
THO,Consumer durables,Recreational products,3775720926
THRM,Producer manufacturing,Auto parts: OEM,1081021963
TIC,Commercial services,Miscellaneous commercial services,1783813735
TIGO,Communications,Wireless telecommunications,14299609800
TILE,Producer manufacturing,Building products,1878698360
TIMB,Communications,Wireless telecommunications,10248030396
TJX,Retail trade,Apparel/Footwear retail,181359330452
TK,Transportation,Marine shipping,1071985570
TKC,Communications,Wireless telecommunications,5219335235
TKO,Consumer services,Movies/Entertainment,37701570769
TKR,Producer manufacturing,Industrial machinery,9866135220
TLK,Communications,Wireless telecommunications,13924185467
TLN,Utilities,Alternative power generation,19888460721
TLX,Health technology,Biotechnology,3375801382
TM,Consumer durables,Motor vehicles,200876395255
TMC,Non-energy minerals,Other metals/Minerals,2144444513
TMDX,Health technology,Medical specialties,2609694333
TME,Technology services,Internet software/Services,12328177877
TMHC,Consumer durables,Homebuilding,6586576025
TMO,Health technology,Medical specialties,172436077266
TMP,Finance,Regional banks,1298779638
TMUS,Communications,Wireless telecommunications,194861777785
TNC,Producer manufacturing,Industrial machinery,1536057066
TNET,Commercial services,Miscellaneous commercial services,1980214126
TNGX,Health technology,Biotechnology,4640217566
TNK,Transportation,Marine shipping,2687670522
TNL,Consumer services,Hotels/Resorts/Cruise lines,4662894494
TOL,Consumer durables,Homebuilding,14200114251
TOST,Technology services,Packaged software,14070800133
TOWN,Finance,Regional banks,3226480522
TPB,Consumer non-durables,Tobacco,1461280285
TPC,Industrial services,Engineering & construction,4288098387
TPG,Finance,Investment managers,15829824743
TPL,Miscellaneous,Investment trusts,24907354060
TPR,Retail trade,Apparel/Footwear retail,30145072131
TR,Consumer non-durables,Food: specialty/candy,2827121181
TREX,Non-energy minerals,Forest products,4820901111
TRGP,Utilities,Gas distributors,56775461577
TRI,Technology services,Internet software/Services,33417048881
TRIN,Miscellaneous,Investment trusts,1517303449
TRINZ,Miscellaneous,Investment trusts,1517303449
TRIP,Consumer services,Other consumer services,1438224090
TRLV,Process industries,Agricultural commodities/Milling,1753841260
TRMB,Technology services,Packaged software,11476079590
TRMD,Transportation,Marine shipping,3083718436
TRMK,Finance,Regional banks,2643109992
TRN,Producer manufacturing,Trucks/Construction/Farm machinery,2793028328
TRNO,Finance,Real estate investment trusts,6887644417
TROLB,Consumer non-durables,Food: specialty/candy,2827121181
TROX,Process industries,Chemicals: specialty,1170906872
TRP,Industrial services,Oil & gas pipelines,68430002585
TRS,Process industries,Containers/Packaging,1589316017
TRU,Commercial services,Financial publishing/Services,12422104255
TRUP,Finance,Multi-line insurance,1014175973
TRV,Finance,Property/Casualty insurance,66049562132
TRVG,Technology services,Internet software/Services,2345947799
TRVI,Health technology,Biotechnology,2514460459
TS,Non-energy minerals,Steel,31017831669
TSCO,Retail trade,Specialty stores,15633843667
TSEM,Electronic technology,Semiconductors,35410086462
TSHA,Health technology,Biotechnology,1876467540
TSLA,Consumer durables,Motor vehicles,1521255811624
TSLX,Miscellaneous,Investment trusts,1544068499
TSM,Electronic technology,Semiconductors,2055680166320
TSN,Consumer non-durables,Food: meat/fish/dairy,19158082253
TT,Producer manufacturing,Industrial machinery,108668663074
TTAM,Non-energy minerals,Construction materials,3357240456
TTAN,Technology services,Packaged software,5969026289
TTC,Producer manufacturing,Trucks/Construction/Farm machinery,8779210634
TTD,Technology services,Packaged software,8471359446
TTE,Energy minerals,Integrated oil,179622976411
TTEK,Industrial services,Engineering & construction,7046095199
TTI,Process industries,Chemicals: specialty,1511716195
TTMI,Electronic technology,Electronic components,22999672806
TTWO,Technology services,Packaged software,44480162256
TU,Communications,Wireless telecommunications,17849159661
TUYA,Technology services,Packaged software,1275618585
TV,Communications,Major telecommunications,1305079125
TVTX,Health technology,Pharmaceuticals: major,5124839033
TW,Finance,Investment banks/Brokers,23177754182
TWFG,Finance,Insurance brokers/Services,1164895123
TWLO,Technology services,Packaged software,27871752429
TWO,Finance,Real estate investment trusts,1283666220
TWO/PA,Finance,Real estate investment trusts,1283666221
TWO/PB,Finance,Real estate investment trusts,1283666221
TWO/PC,Finance,Real estate investment trusts,1283666221
TWOD,Finance,Real estate investment trusts,1283666221
TWST,Health technology,Biotechnology,5303647589
TX,Non-energy minerals,Steel,9153827216
TXG,Health technology,Biotechnology,4181936767
TXN,Electronic technology,Semiconductors,302405645928
TXNM,Utilities,Electric utilities,6349061200
TXRH,Consumer services,Restaurants,11816213035
TXT,Electronic technology,Aerospace & defense,15117908089
TY,Miscellaneous,Investment trusts,1852522320
TYL,Technology services,Data processing services,11607434535
TYRA,Health technology,Biotechnology,1792437298
U,Technology services,Packaged software,11847559733
UA,Consumer non-durables,Apparel/Footwear,2483033629
UAA,Consumer non-durables,Apparel/Footwear,2483033629
UAL,Transportation,Airlines,38519935972
UAMY,Non-energy minerals,Other metals/Minerals,1155847888
UAN,Process industries,Chemicals: agricultural,1162765717
UBS,Finance,Investment managers,154847968914
UBSI,Finance,Regional banks,6194047141
UCB,Finance,Regional banks,3997569135
UCTT,Producer manufacturing,Industrial machinery,5520163000
UDR,Finance,Real estate investment trusts,12262317154
UE,Finance,Real estate investment trusts,2816546803
UEC,Non-energy minerals,Other metals/Minerals,5676186278
UFCS,Finance,Property/Casualty insurance,1244324055
UFPI,Non-energy minerals,Forest products,4825671180
UFPT,Process industries,Industrial specialties,1805027881
UGI,Distribution services,Wholesale distributors,7244364081
UGP,Retail trade,Specialty stores,5324694152
UHAL,Finance,Finance/Rental/Leasing,11001341535
UHAL.B,Finance,Finance/Rental/Leasing,11001341536
UHS,Health services,Hospital/Nursing management,8633128101
UI,Electronic technology,Telecommunications equipment,35069524106
UL,Consumer non-durables,Household/Personal care,125355475049
ULCC,Transportation,Airlines,1640695727
ULS,Commercial services,Miscellaneous commercial services,18082227376
ULTA,Retail trade,Specialty stores,19992608970
UMAC,Electronic technology,Electronic equipment/Instruments,1078708815
UMBF,Finance,Major banks,10404527369
UMBFO,Finance,Major banks,10404527369
UMC,Electronic technology,Semiconductors,63553016219
UMH,Finance,Real estate investment trusts,1274938018
UMH/PD,Finance,Real estate investment trusts,1274938018
UNF,Consumer services,Other consumer services,4534523042
UNFI,Distribution services,Food distributors,3087686659
UNH,Health services,Managed health care,369324136852
UNIT,Industrial services,Engineering & construction,2719535330
UNM,Finance,Multi-line insurance,14472531193
UNP,Transportation,Railroads,154311998895
UPBD,Finance,Finance/Rental/Leasing,1067941076
UPS,Transportation,Air freight/Couriers,91154668446
UPST,Finance,Finance/Rental/Leasing,2997686366
URBN,Retail trade,Apparel/Footwear retail,6229952511
URGN,Health technology,Biotechnology,1704772321
URI,Finance,Finance/Rental/Leasing,68452643108
USA,Miscellaneous,Investment trusts,1763012680
USAC,Industrial services,Oilfield services/Equipment,3705493606
USAS,Non-energy minerals,Other metals/Minerals,1742555931
